 conc | Success% | TTFT mean  TTFT p90 | TPOT mean |  E2E mean   E2E p90 |  out_t/s |   in_t/s |  kv_mean |  prefix% |  qsize | prompt_p50 |  gen_p50
--- epp prefix-cache filter + token-load 40k ---
 14.5 |    99.1% |     1.4s      2.3s |    79.1ms |     33.7s      37.8s |   9306.9 |  67040.2 |    36.4% |    0.00% |    0.0 |       7200 |      997
  3.3 |   100.0% |     0.2s      0.4s |    24.6ms |     16.4s      17.1s |   1702.2 |  12552.6 |     4.6% |    0.00% |    0.0 |       7200 |      997
 11.0 |   100.0% |     0.5s      1.0s |    47.4ms |     21.2s      22.8s |   5042.3 |  36349.9 |    15.3% |    0.00% |    0.0 |       7200 |      997
 17.2 |   100.0% |     0.7s      1.3s |    48.9ms |     24.3s      26.1s |   7370.6 |  52441.3 |    24.1% |   19.06% |    0.0 |       7200 |      997
 20.2 |    99.9% |     1.5s      2.6s |    71.1ms |     35.4s      39.9s |  10725.7 |  77242.2 |    43.1% |   64.15% |    0.0 |       7200 |      997
 22.2 |    98.5% |     1.9s      3.0s |    70.2ms |     37.5s      40.6s |  10774.7 |  76451.3 |    48.2% |   83.25% |    0.0 |       7200 |      997
 24.6 |   100.0% |     2.6s      3.6s |    87.4ms |     40.6s      43.6s |  10017.2 |  72446.4 |    54.2% |   88.91% |    0.0 |       7200 |      998
 28.4 |   100.0% |     3.9s     20.0s |    71.4ms |     43.3s      47.3s |   9869.5 |  70015.2 |    57.4% |   92.60% |    0.0 |       7200 |      997
 34.7 |   100.0% |     5.0s     29.3s |    79.4ms |     46.1s      53.7s |   9772.3 |  69165.5 |    54.4% |   85.87% |    0.0 |       7200 |      997
 41.2 |   100.0% |    31.2s     69.4s |    89.0ms |     76.3s     107.1s |  10380.8 |  73987.2 |    74.9% |   66.81% |   14.0 |       7200 |      998
 43.9 |   100.0% |    35.2s     72.2s |    89.8ms |     80.3s     115.0s |   9761.2 |  69677.4 |    72.8% |   49.20% |  140.0 |       7200 |      997
 44.9 |   100.0% |    38.3s     75.9s |    90.0ms |     82.3s     118.7s |   9458.5 |  67965.9 |    73.2% |   43.56% |  197.0 |       7200 |      997
 50.0 |    98.9% |    38.5s     76.7s |    78.1ms |     82.9s     117.4s |   9268.0 |  65591.0 |    74.3% |   38.94% |  985.0 |       7200 |      998
 52.2 |   100.0% |    46.1s    107.0s |    92.5ms |     88.0s     134.8s |   9042.1 |  65023.7 |    78.6% |   34.49% | 1007.0 |       7200 |      998
 53.7 |   100.0% |    49.4s    110.2s |    70.8ms |     91.3s     140.2s |   9057.9 |  63948.2 |    83.0% |   27.00% | 1036.0 |       7200 |      997
 59.9 |   100.0% |    50.8s    113.3s |    83.2ms |     92.8s     143.2s |   8792.2 |  62759.9 |    81.4% |   20.91% |  973.0 |       7200 |      998
 61.7 |   100.0% |    54.3s    115.2s |    81.3ms |     96.3s     147.2s |   8742.9 |  62019.9 |    79.3% |   21.28% | 1079.0 |       7200 |      997
--- baseline ---
 14.6 |   100.0% |    15.5s     41.4s |    43.0ms |     56.9s      72.7s |   6066.2 |  41607.9 |    70.2% |    0.00% |    0.0 |       7200 |      999
  3.3 |   100.0% |     0.4s      0.5s |    17.5ms |     17.7s      19.8s |   1889.0 |  12357.8 |     6.2% |    0.00% |    0.0 |       7200 |      998
  9.8 |   100.0% |     0.5s      0.9s |    25.2ms |     25.6s      28.9s |   4944.5 |  33537.9 |    20.9% |    0.00% |    0.0 |       7200 |      998
 15.8 |   100.0% |     2.5s      4.9s |    34.8ms |     36.4s      46.2s |   4555.3 |  30550.3 |    31.5% |    5.49% |    2.0 |       7200 |      998
 20.6 |   100.0% |    20.2s     56.8s |    42.4ms |     60.9s      78.9s |   6238.9 |  42947.4 |    59.6% |    2.41% |  299.0 |       7200 |      998
 21.4 |   100.0% |    22.3s     60.2s |    43.2ms |     64.0s      81.1s |   6350.3 |  43549.0 |    69.3% |   26.21% |    0.0 |       7200 |      999
 25.3 |   100.0% |    24.6s     67.6s |    42.8ms |     66.0s      90.5s |   6251.0 |  42885.0 |    71.4% |   11.09% |   17.0 |       7200 |      998
 28.4 |   100.0% |    24.9s     65.5s |    43.5ms |     66.6s      89.4s |   6543.9 |  44982.4 |    64.7% |    3.42% |  415.0 |       7200 |      998
 35.8 |   100.0% |    26.7s     69.2s |    43.1ms |     68.0s      91.6s |   6228.1 |  42796.7 |    61.6% |    5.78% |  435.0 |       7200 |      999
 40.5 |   100.0% |    73.3s    153.1s |    44.7ms |    116.6s     178.3s |   6859.5 |  46970.9 |    72.7% |    3.23% |  434.0 |       7200 |      999
 44.0 |   100.0% |    76.4s    158.1s |    45.3ms |    120.1s     193.8s |   6526.1 |  44684.4 |    64.3% |    3.99% |  449.0 |       7200 |      999
 45.7 |   100.0% |    74.8s    158.1s |    44.6ms |    117.8s     185.3s |   6955.6 |  47804.2 |    83.0% |    3.78% | 1200.0 |       7200 |      998
 50.1 |   100.0% |    71.9s    129.9s |    44.6ms |    115.0s     174.1s |   7049.2 |  48204.4 |    76.3% |    5.36% | 1231.0 |       7200 |      998
 51.7 |   100.0% |    76.5s    161.1s |    45.1ms |    120.0s     188.5s |   6402.4 |  43786.6 |    67.9% |    3.78% | 1192.0 |       7200 |      999
