 conc | Success% |  vTTFT p50 |  vTTFT p90 |  vTTFT p95 |  vTTFT p99 |   TTFT p50 |   TTFT p90 |   TTFT p95 |   TTFT p99 |  vTPOT p50 |  vTPOT p90 |  vTPOT p95 |  vTPOT p99 |   TPOT p50 |   TPOT p90 |   TPOT p95 |   TPOT p99 |   vE2E p50 |   vE2E p90 |   vE2E p95 |   vE2E p99 |    E2E p50 |    E2E p90 |    E2E p95 |    E2E p99 |  out_t/s |   in_t/s |  ach_qps |  kv_mean |  prefix% |   q_size |   q_wait |  run_tot |  run_max
--- k8 ---
   10 |   100.0% |       1.0s |      28.0s |      34.0s |      38.8s |       1.7s |      25.7s |      29.1s |      33.7s |     22.5ms |     48.7ms |     62.5ms |     85.0ms |     26.6ms |    413.2ms |    538.0ms |    834.3ms |      21.0s |      56.7s |      80.0s |     168.0s |      23.1s |      57.5s |      62.9s |     115.7s |    117.5 |  15168.5 |     0.24 |    68.4% |    36.3% |      2.0 |      2.6s |      4.8 |      3.0
   20 |   100.0% |       2.5s |      16.8s |      19.5s |      35.2s |       1.4s |      14.2s |      17.5s |      28.9s |     23.5ms |     47.8ms |     56.4ms |     71.3ms |     28.2ms |     52.6ms |     63.1ms |    125.8ms |      22.7s |      51.8s |      70.5s |     118.1s |      22.6s |      52.3s |      61.5s |     108.4s |    299.9 |  29451.3 |     0.50 |    41.4% |    23.0% |      9.0 |      1.3s |     10.8 |      5.0
   30 |   100.0% |       5.5s |      70.8s |     108.9s |     149.8s |       5.6s |      74.4s |     105.9s |     136.8s |     26.6ms |     56.0ms |     69.2ms |     91.1ms |     30.7ms |     60.8ms |     69.8ms |     94.6ms |      29.0s |     113.6s |     168.4s |     225.7s |      28.3s |     113.3s |     143.1s |     186.0s |    353.3 |  16269.1 |     0.26 |    23.0% |     9.5% |     17.0 |     13.7s |      7.9 |      5.0
   40 |   100.0% |       9.8s |      68.6s |      91.4s |     146.3s |      10.0s |      70.4s |      80.9s |      97.5s |     33.5ms |     67.7ms |     75.3ms |     96.9ms |     36.4ms |     78.4ms |     93.4ms |    173.0ms |      37.5s |     111.4s |     147.0s |     228.3s |      36.8s |     108.9s |     139.2s |     177.2s |    292.7 |  26357.3 |     0.42 |    29.1% |    11.4% |     23.0 |     14.2s |     14.1 |      5.0
   50 |   100.0% |      25.6s |      69.5s |      76.1s |     120.1s |      27.3s |      63.6s |      73.2s |      82.4s |     44.1ms |     82.3ms |     93.9ms |    128.9ms |     51.5ms |     92.6ms |    110.0ms |    158.8ms |      60.5s |     118.2s |     171.7s |     226.3s |      61.1s |     114.2s |     138.5s |     168.7s |    394.7 |  34551.8 |     0.53 |     5.6% |    10.4% |     36.0 |     21.9s |     21.4 |      6.0
   60 |    99.7% |      60.0s |     159.4s |     393.1s |     590.6s |      54.7s |     148.5s |     184.2s |     204.9s |     43.5ms |     74.2ms |     90.3ms |    130.1ms |     50.0ms |     90.8ms |    104.3ms |    150.6ms |      98.4s |     220.2s |     235.1s |     408.4s |     102.0s |     199.2s |     220.4s |     261.3s |    402.0 |  22124.5 |     0.41 |    10.4% |     5.3% |     52.0 |     59.7s |     13.5 |      7.0
   70 |    99.3% |      50.5s |     141.8s |     155.4s |     496.0s |      48.9s |     136.2s |     152.2s |     173.4s |     43.0ms |     80.7ms |     94.7ms |    140.2ms |     47.7ms |    106.9ms |    134.6ms |    254.7ms |      89.5s |     211.4s |     229.1s |     355.2s |      87.7s |     188.1s |     203.7s |     269.8s |    715.6 |  32786.2 |     0.47 |    79.7% |     6.0% |     57.0 |     49.6s |     20.1 |      5.0
   80 |    99.8% |      50.1s |     127.2s |     144.3s |     158.0s |      49.6s |     108.3s |     123.7s |     153.7s |     49.9ms |     78.9ms |     93.4ms |    134.3ms |     55.8ms |    105.3ms |    136.2ms |    371.9ms |      89.7s |     199.1s |     222.5s |     289.6s |      86.7s |     165.9s |     197.9s |     246.2s |    862.0 |  40560.2 |     0.63 |    78.7% |     5.7% |     65.0 |     43.7s |     29.1 |      7.0
   90 |    99.1% |      65.5s |     193.1s |     416.6s |     595.3s |      64.3s |     162.0s |     180.0s |     205.6s |     44.7ms |     73.3ms |     86.7ms |    123.5ms |     50.8ms |     99.2ms |    117.4ms |    342.1ms |     108.5s |     221.4s |     235.5s |     409.3s |     113.3s |     207.9s |     231.6s |     265.9s |    615.1 |  34526.3 |     0.58 |    64.7% |     5.2% |     83.0 |     65.6s |     23.4 |      6.0
  100 |    97.2% |      69.4s |     333.6s |     486.8s |     609.4s |      66.8s |     175.1s |     197.9s |     244.2s |     50.3ms |     78.3ms |     92.0ms |    128.2ms |     58.0ms |    117.1ms |    156.7ms |    599.3ms |     107.6s |     226.8s |     275.3s |     439.1s |     105.3s |     217.4s |     250.7s |     284.9s |    548.1 |  37699.2 |     0.55 |    67.0% |     5.3% |     91.0 |     68.1s |     25.7 |      6.0
--- epp prefix-cache filter + modified token-load 286k ---
   10 |   100.0% |       4.8s |      18.5s |      20.0s |      36.0s |       5.0s |      16.8s |      20.1s |      30.0s |     25.6ms |     62.8ms |     72.0ms |    120.5ms |     42.1ms |    676.7ms |   1970.3ms |   2830.9ms |      28.8s |      61.0s |      90.5s |     114.1s |      29.8s |      60.4s |      73.7s |      97.3s |    140.9 |  19541.5 |     0.28 |     0.0% |    10.4% |      2.0 |      0.9s |      7.6 |      3.0
   20 |   100.0% |       6.1s |      17.0s |      18.8s |      28.0s |       7.0s |      14.0s |      18.0s |      22.0s |     27.7ms |     54.4ms |     66.8ms |     85.1ms |     36.8ms |    261.8ms |   1063.9ms |   2968.3ms |      27.4s |      58.1s |      84.3s |     112.9s |      26.8s |      53.3s |      67.4s |     102.4s |    238.0 |  26754.3 |     0.46 |    25.7% |    48.1% |      8.0 |      0.6s |     11.9 |      4.0
   30 |   100.0% |       6.2s |      18.7s |      25.5s |      38.5s |       6.4s |      17.7s |      21.2s |      35.3s |     28.5ms |     50.2ms |     66.2ms |     93.4ms |     38.8ms |    845.6ms |   1937.8ms |   3195.9ms |      28.4s |      73.7s |     103.5s |     186.3s |      29.0s |      65.0s |      81.4s |     136.2s |    594.8 |  31196.3 |     0.53 |    32.8% |     3.8% |      7.0 |      1.1s |     15.8 |      5.0
